task	baseline	precision	recall	f1
a_to_c	paragraph_breaks_only	1.0	0.46079708257358687	0.6308844507845934
a_to_c	punkt	0.7391864963075842	0.41065381609794216	0.5279859337715075
a_to_c	pysbd	0.7153395530483836	0.4294087001823392	0.5366647676405958
a_to_c	sentencizer	0.8426789231779382	0.41788226100547016	0.5587044534412956
b_to_c	punkt	0.8232572978146435	0.6721802552748112	0.7400874740087474
b_to_c	pysbd	0.7867546654528903	0.6753711904141704	0.7268203798444179
b_to_c	sentencizer	0.9051152928703949	0.6671659286272467	0.7681349578256794
